БЕЛГОРОДСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47242) 4-95-25, 4-95-40
«ЗАПРУДНОВСКОЕ» ЗАО;(83145) 6-43-18, 6-43-47
«ЗАРЕЧНОЕ — КОЛЧИН и К» ТОВАРИЩЕСТВО на ВЕРЕ;(83151) 2-12-75
«ЗАРЕЧНОЕ» ОПХ. ВНИИ КАРТОФЕЛЬНОГО ХОЗЯЙСТВА;(83161) 4-78-38, 4-75-65
«ЗАРЕЧНЫЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83151) 2-12-75
«ЗАРЕЧНЫЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83153) 4-32-31, 3-15-32
«ЗАРЕЧЬЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83156) 2-53-33
«ЗАРЯ и Ко» ООО;(83172) 5-27-62
«ЗАРЯ КОММУНИЗМА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83154) 2-54-17
«ЗАРЯ» КОЛХОЗ;(83147) 5-62-10
«ЗАРЯ» ООО;(83191) 4-45-45, 4-45-44
«ЗАРЯ» ООО;(83140) 4-51-28
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83197) 4-23-32, 2-14-50
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83170) 4-50-34, 2-19-94
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83160) 3-41-31, 3-41-42
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83149) 4-31-56, 4-31-45
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83195) 2-14-86
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83138) 3-52-39
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 3-41-28
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83153) 4-53-20
«ЗАРЯ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83164) 5-61-46
«ЗЕЛЕНАЯ ДОЛИНА» ООО;(83161) 4-62-10
«ЗЕЛЕНОГОРСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83140) 4-54-96, 4-54-12
«ЗЕМЛЕДЕЛЕЦ» АГРОФИРМА (ООО);(83137) 2-96-46, 2-96-47
«ЗЕМЛЕДЕЛЕЦ» ООО;(83173) 7-53-21, 7-51-45
«ЗЕМЛЕДЕЛЕЦ» ООО;(83161) 4-65-17, 4-67-58
«ЗЕМЛЕДЕЛЕЦ» ООО;(83155) 2-13-16
«ЗЕМЛЕДЕЛЕЦ» ООО;(83150) 3-27-23
«ЗЕМЛЕДЕЛЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83142) 2-84-02
«ЗЕМЛЕДЕЛЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83152) 3-01-35
«ЗЕМЛЕДЕЛЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83165) 2-19-50
«ЗЕМЛЯ СЕРГАЧСКАЯ» ООО;(83191) 5-57-74
«ЗЕМЛЯ СЕЧЕНОВСКАЯ» АГРОФИРМА (ОАО);(83193) 4-32-32
«ЗЕМЛЯНЕ» ООО;(83155) 3-27-36
«ЗИНОВЬЕВО» ООО;(83162) 3-85-74, 3-85-25
«ЗОЛОТОЙ КОЛОС» АГРОФИРМА (ООО);(83191) 2-16-21, 5-28-85
«ЗОЛОТОЙ КОЛОС» ООО;(83159) 3-81-11
«ЗУБОВО» ООО;(83162) 3-25-42
«ИВАНОВСКИЙ» ООО;(83134) 3-24-94, 3-24-90
«ИЛЛАРИОНОВО» АГРОФИРМА (ООО);(83138) 4-11-39
«ИЛЬИНО-ЗАБОРСКОЕ» ОАО;(83162) 3-33-42, 3-32-12
«ИЛЬИНОГОРСКОЕ» ОАО. НИЖЕГОРОДСКИЙ ФИЛИАЛ ОАО «ПРОДОМЕНЕДЖМЕНТ»;(83136) 6-11-49, 6-14-04, 6-12-40, 6-11-11 (доб. 31-33, 32-03, 32-28, 31-91), 6-13-21
«ИЛЬИНОГОРСКОЕ» СОВХОЗ (ООО);(83136) 6-18-58
«ИСКРА-М» ООО;(83164) 3-11-48
«ИСКРА» ЗАО;(83167) 5-71-34, 5-71-18
«ИСКРА» ООО;(83194) 2-14-42, 2-12-67
«ИСКРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83170) 4-54-39, 4-00-39
«ИСКРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83150) 3-32-36
«ИСТОК» ЗАО;(83167) 5-71-34, 5-71-18
«ИСТОК» ООО;(83144) 5-10-77
«ИСТОК» ООО;(83164) 2-25-13
«ИТМАНОВО» ООО;(83195) 3-92-19
«ИЧАЛОВО» ЗАО;(83134) 3-27-17
«КАКИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83195) 3-71-42
«КАМЕНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83157) 2-60-70, 2-60-16
«КАМЕНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 3-61-42, 3-61-30
«КАМЕНСКОЕ» ОАО;(83170) 4-11-25
«КАРКАЛЕЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83179) 2-02-60
«КАРПОВСКИЙ» КОЛХОЗ;(83154) 2-43-49
«КЕМАРЫ» ООО;(83148) 4-11-34
«КЕЧАСОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83194) 2-18-05
«КИРОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83151) 5-61-90
«КНЯГИНИНСКОЕ» ООО;(83166) 4-14-52
«КОВЕРНИНО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83157) 2-18-31, 2-14-34
«КОВРИГИНО» ООО;(83137) 2-33-42
«КОЛОСС» ОАО. ПРЕДПРИЯТИЕ «АГРО-ХОЛДИНГ»;(83172) 5-82-43, 5-82-75
«КОЛОС» ООО;(83158) 3-34-80
«КОЛОС» ООО;(83147) 5-66-36
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83155) 2-17-36
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83150) 3-37-18
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83153) 3-15-34
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83174) 3-61-22, 3-61-17
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83170) 4-20-16, 4-20-38
«КОЛОС» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83167) 5-61-93, 5-61-95
«КОМАРОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83171) 7-11-43, 7-11-60
«КОМИНТЕРН» АГРОФИРМА (ООО);(83145) 5-12-35, 5-12-36
«КОММУНАР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83151) 2-11-22
«КОМСОМОЛЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83153) 3-15-32
«КОНДРЫКИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83138) 3-31-33
«КОННОВСКОЕ» СЕЛЬХОЗПРЕДПРИЯТИЕ (ООО);(83134) 3-36-10
«КОРОБКОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ЗАО);(83175) 3-21-25, 3-21-21
«КОСТЯНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83142) 2-36-88, 2-36-87
«КРАСНАЯ ГОРА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 3-01-11, 3-01-23
«КРАСНАЯ ЗВЕЗДА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83166) 2-16-78
«КРАСНАЯ ЗВЕЗДА» СЕЛЬХОЗПРЕДПРИЯТИЕ (ООО);(83142) 2-81-24, 4-19-02
«КРАСНАЯ НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83191) 5-10-28
«КРАСНОГОР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83154) 2-53-58
«КРАСНОСЕЛЬСКОЕ» ОАО;(83147) 5-86-81, 5-86-80
«КРАСНЫЕ ЗОРИ» ООО;(83191) 2-29-61
«КРАСНЫЙ ВОСТОК» ОАО;(83191) 5-91-18
«КРАСНЫЙ ЛУЧ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ. ООО «МЕТАКОМ АГРО»;(83149) 3-15-35
«КРАСНЫЙ МАЯК» КОЛХОЗ;(83161) 2-98-56
«КРАСНЫЙ ОКТЯБРЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83196) 4-10-07
«КРАСНЫЙ ПАРТИЗАН» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83168) 3-33-48, 2-17-80
«КРАСНЫЙ ПАХАРЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83197) 3-32-43
«КРЕМНИЦКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83172) 5-19-34, 5-57-31
«КРИУШИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83178) 3-11-45, 3-11-44
«КРИУШИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83197) 4-26-32
«КРУГЛОВСКОЕ» ООО;(83179) 5-81-52, 5-81-42
«КРУТОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83157) 2-50-50, 2-50-16
«КРУТОГОРЬЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83151) 9-32-36
«КРЯЖИ» ООО;(83171) 7-95-58
«КУВЕРБСКОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83151) 9-81-46
«КУДРЯШОВ и К» ТОВАРИЩЕСТВО на ВЕРЕ;(83191) 5-15-59
«КУДЬМИНСКАЯ» ПТИЦЕФАБРИКА (ОАО);(83170) 4-91-02, 4-91-58
«КУЖЕНДЕЕВСКОЕ» ОАО;(83179) 5-96-74, 5-96-81
«КУЗЬМИНСКИЕ САДЫ» ООО;(83191) 4-13-17, 5-28-85
«КУЗЬМИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83194) 2-12-67, 2-14-42
«КУЗЯТОВСКОЕ» ОАО;(83179) 5-81-30
«КУЛЕБАКСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83176) 7-31-11
«КУРМЫШСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 2-18-62, 4-32-90
«КУШНУРСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83155) 3-21-19
«КЫЗЫЛ ЯР» КОЛХОЗ;(83194) 2-14-42, 2-12-67
«ЛАКША» ОАО;(83170) 4-45-00
«ЛАТКИН» ООО;(83147) 5-54-77
«ЛЕМЕТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83179) 5-02-32, 5-10-92
«ЛЕНИНСКИЙ ПУТЬ» КОЛХОЗ;(83158) 3-33-35
«ЛЕН» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(950) 608-32-85
«ЛЕСНОЙ КРАЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83161) 4-53-45, 4-53-43
«ЛИДЕР» ООО;(83137) 2-41-17, 2-11-50
«ЛИНДОВСКИЙ» ПЛЕМЕННОЙ СОВХОЗ (ООО);(83159) 4-12-52
«ЛИПОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83193) 4-62-21, 4-62-33
«ЛИЧАДЕЕВО» ОАО;(83179) 5-08-43
«ЛОМАКИНО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83195) 4-31-46
«ЛОМОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83147) 6-83-41
«ЛУГОВОЕ и Ко» ТОВАРИЩЕСТВО на ВЕРЕ (ООО);(83191) 4-65-16
«ЛУКОЯНОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83196) 2-14-53
«ЛУЧ» ООО;(83196) 4-10-82
«ЛЫСКОВСКАЯ» СЕЛЬХОЗПРЕДПРИЯТИЕ. АГРОПРОМЫШЛЕННАЯ ФИРМА «ВОЛ-ГАТРАНСГАЗ» (ООО);(83149) 2-16-46, 2-69-18
«МАДАЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83197) 3-34-68, 3-34-22
«МАЙДАНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 5-56-18
«МАКАРЬЕВСКИЕ ПРОСТОРЫ» ООО;"(831) 410-23-99; (920) 022-44-33"
«МАЛОКАМЕНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83151) 9-01-16
«МАЛОМАМЛЕЕВСКОЕ» МУП;(83196) 2-81-39, 5-81-39
«МАЛЬКОВСКОЕ» ООО;(83154) 2-46-42
«МАМЕШЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 5-58-16
«МАМЛЕЙСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83193) 3-57-15, 3-57-16
«МАРЕСЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83197) 4-31-49
«МАТЮШЕВО» ООО;(83174) 2-15-29
«МАЯК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(902) 304-90-29
«МАЯК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83154) 2-16-46
«МАЯК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83138) 3-11-18
«МАЯК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ООО);(83137) 2-91-34, 2-91-25
«МАЯК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ООО);(83150) 3-24-33
«МЕДВЕДЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83162) 2-16-19
«МЕДИНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83194) 3-76-17
«МЕДЯНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(83163) 3-41-36; (915) 902-35-12"
«МЕДЯНА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 4-21-10, 4-21-60
«МЕЖДУРЕЧЬЕ» ЗАО;(83197) 2-29-45
«МЕТАКОМ АГРО» ООО;(83149) 4-11-37
«МЕТАЛЛУРГ» АГРОФИРМА (ООО);(83177) 3-35-38, 3-23-40
«МИГИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83191) 4-11-11
«МИНЕЕВСКИЙ» КОЛХОЗ;(83154) 2-63-11
«МИР» АГРАРНЫЙ ПЛЕМЕННОЙ КОМБИНАТ (ОАО);(83157) 2-64-17
«МИР» АГРОФИРМА (ОАО);(83137) 2-12-15
«МИР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83168) 3-51-45
«МИР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83170) 4-15-77
«МИР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83155) 3-11-36
«МИР» СЕЛЬХОЗПРЕДПРИЯТИЕ (ООО);(904) 911-37-53
«МИР» ТОВАРИЩЕСТВО на ВЕРЕ;(83161) 4-51-84
«МИТРОПОЛЬСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83193) 4-61-21
«МИХЕЕВКА» ООО;(83179) 5-87-47
«МОЖАРСКОЕ» ООО. ООО «АЛГА»;"(831) 277-99-53; (83194) 2-11-42"
«МОЛОКО» ООО;(83138) 3-71-43
«МОТЫЗЛЕЙСКОЕ» ТОВАРИЩЕСТВО на ВЕРЕ;(83178) 2-11-46
«МТС» АГРОФИРМА (ОАО);(83168) 3-74-45, 3-74-44
«МУРЗИНО» ООО;(83137) 2-11-50, 2-97-45
«НАДЕЖДА» ООО;(83172) 5-82-40
«НАДЕЖДА» ПРОИЗВОДСТВЕННЫЙ СЕЛЬХОЗКООПЕРАТИВ (ООО);(83167) 5-66-34
«НАДЕЖИНСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83179) 5-77-22, 5-77-46
«НАРУКСОВСКОЕ» ЗАО;(83197) 4-13-48, 4-12-39
«НАРЫШКИНСКОЕ» СЕЛЬХОЗПРЕДПРИЯТИЕ;(83178) 7-13-10, 7-13-36
«НАУМОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83147) 5-97-25
«НАХРАТОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;"(83163) 9-28-36; (902) 687-52-80"
«НЕЛЕДИНСКОЕ» ООО;(83142) 2-36-91
«НЕЛЕЙСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83139) 3-25-10
«НИВА — МАХЕЕВ и К» АГРОХОЛДИНГ (ТОВАРИЩЕСТВО на ВЕРЕ);(83172) 5-51-45, 5-27-10
«НИВА — МИХЕЕВ и К» ТОВАРИЩЕСТВО на ВЕРЕ;(83172) 5-27-10
«НИВА» ЗАО;(83149) 3-43-16, 2-12-29
«НИВА» ООО;(83175) 2-24-44
«НИВА» ООО;(83174) 3-81-49, 3-80-09
«НИВА» ООО;(83155) 3-23-46
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83196) 5-83-29
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83151) 2-12-58
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83153) 4-44-44
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83173) 7-61-31, 7-61-87
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83154) 2-62-54
«НИЖЕГОРОДЕЦ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ОАО);(83168) 3-11-17
«НИЖЕГОРОДСКАЯ» ООО;(83144) 7-20-11, 7-20-12, 7-20-13
«НИЖЕГОРОДСКИЙ СТРАУС» ООО;(83152) 2-72-86
«НИКИТИХА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83152) 3-23-15
«НИКОЛАЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83139) 3-24-31
«НОВАЯ ЖИЗНЬ» ОАО;(83148) 5-26-69
«НОВАЯ ЖИЗНЬ» ООО;(83166) 3-73-47
«НОВАЯ ЖИЗНЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83139) 3-11-35
«НОВИНКИ» ЭЛИТНО-СЕМЕНОВОДЧЕСКОЕ ХОЗЯЙСТВО. НИЖЕГОРОДСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ;(83170) 4-86-22
«НОВОБЛАГОВЕЩЕНСКОЕ» СЕЛЬХОЗПРЕДПРИЯТИЕ. ООО «ПЕРСПЕКТИВА»;(83195) 3-21-45
«НОВОДМИТРИЕВСКОЕ» ОТДЕЛЕНИЕ АГРОФИРМЫ «МЕТАЛЛУРГ» №4 (ООО);(83177) 7-52-16, 7-53-76
«НОВОМИХАЙЛОВКА» ООО;(83196) 5-31-23
«НОВОПОКРОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83150) 3-36-49
«НОВОУСАДСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83147) 5-64-49
«НОВОУСАДСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83165) 3-01-47
«НОВЫЙ ВЕК» ООО;(83166) 4-22-06
«НОВЫЙ МИР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 3-93-28
«НОВЫЙ МИР» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83140) 4-61-16, 4-61-49
«НОВЫЙ ПУТЬ» КОЛХОЗ;(83152) 4-81-21, 4-81-10
«НОВЫЙ ПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83150) 3-25-10
«НОВЫЙ ПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83164) 3-11-16
«НОВЫЙ ПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83195) 3-81-45
«НОВЫЙ ПУТЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(83192) 3-13-45
«НОВЬ» ООО;(83161) 4-84-19
